item_id,ingredient_id,is_main
item_001_001,ing_0001,1
item_001_001,ing_0002,0
item_001_001,ing_0003,0
item_001_001,ing_0004,0
item_001_002,ing_0001,1
item_001_002,ing_0002,0
item_001_002,ing_0005,0
item_001_003,ing_0001,1
item_001_003,ing_0003,0
item_001_003,ing_0004,0
item_001_004,ing_0001,1
item_001_004,ing_0006,0
item_001_004,ing_0003,0
item_001_004,ing_0004,0
item_001_005,ing_0007,1
item_001_005,ing_0003,0
item_001_005,ing_0004,0
item_001_006,ing_0008,1
item_001_006,ing_0004,0
item_001_006,ing_0003,0
item_002_001,ing_0009,1
item_002_001,ing_0010,0
item_002_001,ing_0003,0
item_002_001,ing_0004,0
item_002_002,ing_0009,1
item_002_002,ing_0010,0
item_002_002,ing_0003,0
item_002_002,ing_0004,0
item_002_003,ing_0009,1
item_002_003,ing_0010,0
item_002_003,ing_0011,0
item_002_004,ing_0009,1
item_002_004,ing_0010,0
item_002_004,ing_0003,0
item_002_004,ing_0004,0
item_002_005,ing_0006,1
item_002_006,ing_0008,1
item_002_006,ing_0004,0
item_002_006,ing_0003,0
item_003_001,ing_0012,1
item_003_001,ing_0003,0
item_003_001,ing_0004,0
item_003_002,ing_0012,1
item_003_002,ing_0003,0
item_003_002,ing_0004,0
item_003_003,ing_0001,1
item_003_003,ing_0012,0
item_003_003,ing_0003,0
item_003_003,ing_0004,0
item_003_004,ing_0013,1
item_003_004,ing_0003,0
item_003_004,ing_0004,0
item_003_005,ing_0012,1
item_003_005,ing_0003,0
item_003_005,ing_0004,0
item_003_006,ing_0012,1
item_003_006,ing_0003,0
item_003_006,ing_0004,0
item_004_001,ing_0012,1
item_004_001,ing_0003,0
item_004_001,ing_0004,0
item_004_002,ing_0014,1
item_004_002,ing_0015,0
item_004_002,ing_0003,0
item_004_002,ing_0004,0
item_004_003,ing_0010,1
item_004_003,ing_0003,0
item_004_003,ing_0004,0
item_004_004,ing_0012,1
item_004_004,ing_0016,0
item_004_004,ing_0017,0
item_004_005,ing_0018,1
item_004_006,ing_0008,1
item_004_006,ing_0004,0
item_004_006,ing_0003,0
item_005_001,ing_0019,1
item_005_001,ing_0020,0
item_005_001,ing_0003,0
item_005_001,ing_0004,0
item_005_002,ing_0019,1
item_005_002,ing_0010,0
item_005_002,ing_0003,0
item_005_002,ing_0004,0
item_005_003,ing_0019,1
item_005_003,ing_0012,0
item_005_003,ing_0013,0
item_005_004,ing_0013,1
item_005_004,ing_0003,0
item_005_004,ing_0004,0
item_005_005,ing_0021,1
item_005_005,ing_0004,0
item_005_005,ing_0003,0
item_005_006,ing_0008,1
item_005_006,ing_0004,0
item_005_006,ing_0003,0
item_006_001,ing_0019,1
item_006_001,ing_0022,0
item_006_001,ing_0007,0
item_006_002,ing_0019,1
item_006_002,ing_0022,0
item_006_002,ing_0015,0
item_006_003,ing_0019,1
item_006_003,ing_0022,0
item_006_003,ing_0003,0
item_006_003,ing_0004,0
item_006_004,ing_0019,1
item_006_004,ing_0022,0
item_006_004,ing_0023,0
item_006_005,ing_0008,1
item_006_005,ing_0004,0
item_006_005,ing_0003,0
item_006_006,ing_0008,1
item_006_006,ing_0004,0
item_006_006,ing_0003,0
item_007_001,ing_0024,1
item_007_001,ing_0010,0
item_007_001,ing_0003,0
item_007_001,ing_0004,0
item_007_002,ing_0024,1
item_007_002,ing_0010,0
item_007_002,ing_0003,0
item_007_002,ing_0004,0
item_007_003,ing_0024,1
item_007_003,ing_0003,0
item_007_003,ing_0004,0
item_007_004,ing_0024,1
item_007_004,ing_0012,0
item_007_004,ing_0003,0
item_007_004,ing_0004,0
item_007_005,ing_0025,1
item_007_005,ing_0004,0
item_007_005,ing_0003,0
item_007_006,ing_0008,1
item_007_006,ing_0004,0
item_007_006,ing_0003,0
item_008_001,ing_0009,1
item_008_001,ing_0007,0
item_008_001,ing_0003,0
item_008_001,ing_0004,0
item_008_002,ing_0009,1
item_008_002,ing_0003,0
item_008_002,ing_0004,0
item_008_003,ing_0009,1
item_008_003,ing_0010,0
item_008_003,ing_0003,0
item_008_003,ing_0004,0
item_008_004,ing_0007,1
item_008_004,ing_0026,0
item_008_004,ing_0003,0
item_008_004,ing_0004,0
item_008_005,ing_0025,1
item_008_005,ing_0004,0
item_008_005,ing_0003,0
item_008_006,ing_0008,1
item_008_006,ing_0004,0
item_008_006,ing_0003,0
item_009_001,ing_0027,1
item_009_001,ing_0004,0
item_009_001,ing_0003,0
item_009_002,ing_0020,1
item_009_002,ing_0003,0
item_009_002,ing_0004,0
item_009_003,ing_0010,1
item_009_003,ing_0003,0
item_009_003,ing_0004,0
item_009_004,ing_0019,1
item_009_004,ing_0010,0
item_009_004,ing_0003,0
item_009_004,ing_0004,0
item_009_005,ing_0021,1
item_009_005,ing_0004,0
item_009_005,ing_0003,0
item_009_006,ing_0028,1
item_009_006,ing_0004,0
item_009_006,ing_0003,0
item_010_001,ing_0014,1
item_010_001,ing_0015,0
item_010_001,ing_0003,0
item_010_001,ing_0004,0
item_010_002,ing_0014,1
item_010_002,ing_0015,0
item_010_002,ing_0003,0
item_010_002,ing_0004,0
item_010_003,ing_0001,1
item_010_003,ing_0003,0
item_010_003,ing_0004,0
item_010_004,ing_0001,1
item_010_004,ing_0010,0
item_010_004,ing_0003,0
item_010_004,ing_0004,0
item_010_005,ing_0029,1
item_010_005,ing_0004,0
item_010_005,ing_0003,0
item_010_006,ing_0008,1
item_010_006,ing_0004,0
item_010_006,ing_0003,0
item_011_001,ing_0020,1
item_011_001,ing_0003,0
item_011_001,ing_0004,0
item_011_002,ing_0010,1
item_011_002,ing_0003,0
item_011_002,ing_0004,0
item_011_003,ing_0030,1
item_011_003,ing_0031,0
item_011_003,ing_0003,0
item_011_003,ing_0004,0
item_011_004,ing_0019,1
item_011_005,ing_0030,1
item_011_005,ing_0016,0
item_011_006,ing_0008,1
item_011_006,ing_0004,0
item_011_006,ing_0003,0
item_012_001,ing_0001,1
item_012_001,ing_0031,0
item_012_001,ing_0003,0
item_012_001,ing_0004,0
item_012_002,ing_0009,1
item_012_002,ing_0031,0
item_012_002,ing_0003,0
item_012_002,ing_0004,0
item_012_003,ing_0031,1
item_012_003,ing_0003,0
item_012_003,ing_0004,0
item_012_004,ing_0030,1
item_012_004,ing_0003,0
item_012_004,ing_0004,0
item_012_005,ing_0032,1
