item_id,allergen_id
item_001_002,allergen_004
item_001_004,allergen_002
item_002_005,allergen_002
item_003_001,allergen_002
item_003_004,allergen_005
item_004_002,allergen_003
item_004_005,allergen_005
item_004_005,allergen_008
item_005_001,allergen_001
item_005_001,allergen_002
item_005_002,allergen_001
item_005_003,allergen_001
item_005_003,allergen_005
item_005_004,allergen_005
item_006_001,allergen_001
item_006_002,allergen_003
item_006_002,allergen_001
item_006_003,allergen_001
item_006_004,allergen_001
item_006_004,allergen_004
item_006_005,allergen_005
item_006_005,allergen_006
item_006_006,allergen_005
item_008_004,allergen_002
item_009_001,allergen_001
item_009_002,allergen_001
item_009_002,allergen_002
item_009_003,allergen_001
item_009_004,allergen_001
item_009_006,allergen_001
item_010_001,allergen_003
item_010_002,allergen_003
item_010_005,allergen_006
item_011_001,allergen_002
item_011_004,allergen_001
item_012_005,allergen_006
item_012_006,allergen_005
item_013_001,allergen_002
item_013_002,allergen_002
item_013_003,allergen_005
item_013_003,allergen_004
item_013_004,allergen_001
item_013_006,allergen_005
item_014_001,allergen_001
item_014_001,allergen_005
item_014_002,allergen_001
item_014_003,allergen_001
item_014_005,allergen_001
item_016_005,allergen_006
item_017_001,allergen_005
item_017_002,allergen_005
item_017_004,allergen_005
item_017_006,allergen_005
item_018_002,allergen_004
item_018_004,allergen_002
item_018_006,allergen_005
item_019_001,allergen_003
item_019_002,allergen_004
item_019_005,allergen_003
item_020_001,allergen_002
item_020_003,allergen_002
item_020_004,allergen_002
item_021_001,allergen_002
item_021_003,allergen_002
item_021_004,allergen_003
item_021_006,allergen_005
item_022_001,allergen_001
item_022_002,allergen_001
item_022_002,allergen_004
item_022_003,allergen_001
item_022_003,allergen_002
item_022_004,allergen_001
item_022_004,allergen_005
item_023_006,allergen_007
item_023_006,allergen_005
item_024_001,allergen_002
item_024_002,allergen_002
item_024_004,allergen_006
item_025_001,allergen_001
item_025_002,allergen_001
item_025_003,allergen_001
item_025_005,allergen_007
item_026_003,allergen_003
item_027_001,allergen_002
item_027_002,allergen_002
item_027_003,allergen_002
item_027_004,allergen_002
item_027_005,allergen_001
item_028_001,allergen_001
item_028_001,allergen_005
item_028_001,allergen_004
item_028_002,allergen_001
item_028_004,allergen_005
item_028_006,allergen_005
item_029_001,allergen_001
item_029_002,allergen_001
item_029_002,allergen_002
item_029_003,allergen_001
item_029_004,allergen_007
item_030_002,allergen_005
item_030_004,allergen_005
item_031_001,allergen_004
item_031_002,allergen_003
item_031_004,allergen_006
item_032_002,allergen_006
item_032_005,allergen_004
item_033_002,allergen_002
item_033_004,allergen_002
item_034_001,allergen_004
item_035_001,allergen_005
item_035_005,allergen_001
item_036_002,allergen_003
item_036_003,allergen_001
item_036_003,allergen_002
item_036_006,allergen_005
item_037_001,allergen_004
item_037_002,allergen_005
item_037_003,allergen_001
item_038_001,allergen_002
item_038_003,allergen_003
item_038_003,allergen_005
item_038_005,allergen_008
item_039_003,allergen_002
item_040_001,allergen_002
item_040_003,allergen_002
item_041_001,allergen_001
item_041_001,allergen_005
item_041_002,allergen_001
item_041_003,allergen_001
item_041_005,allergen_001
item_043_002,allergen_005
item_043_003,allergen_001
item_043_003,allergen_005
item_043_005,allergen_001
item_044_001,allergen_003
item_044_001,allergen_002
item_044_002,allergen_003
item_044_002,allergen_002
item_044_003,allergen_003
item_044_004,allergen_003
